Symbol,Security Name,Price,Change %,Volume,Rel Volume,Market Cap,P/E Ratio,EPS(TTM),EPS Growth,Div Yield,Sector,Analyst Rating
MTCH,"Match Group, Inc.",29.21 USD,−0.81%,3.25 M,0.54,7.16 B USD,14.41,2.03 USD,−11.74%,1.30%,Technology services,Buy
MTD,"Mettler-Toledo International, Inc.","1,114.14 USD",−1.92%,247.89 K,1.01,23.15 B USD,27.79,40.09 USD,+12.43%,0.00%,Health technology,Neutral
MTDR,Matador Resources Company,43.40 USD,−0.46%,1.05 M,0.69,5.43 B USD,5.83,7.44 USD,+1.93%,2.22%,Energy minerals,Strong buy
MTEK,Maris-Tech Ltd.,2.06 USD,−4.63%,39.98 K,1.01,16.45 M USD,—,−0.16 USD,+54.24%,0.00%,Consumer durables,—
MTEN,Mingteng International Corporation Inc.,12.68 USD,+2.51%,43.63 K,0.56,86.73 M USD,—,−0.12 USD,—,0.00%,Producer manufacturing,—
MTEST,"NYSE Texas, Inc. TEST",25.65 USD,+0.16%,90.23 M,—,—,—,—,—,—,—,—
MTEST.B,MTEST.B,25.90 USD,−0.47%,89.63 M,—,—,—,—,—,—,—,—
MTEX,"Mannatech, Incorporated",9.50 USD,−6.86%,4.53 K,1.37,18.06 M USD,—,−0.11 USD,+87.78%,0.00%,Health technology,—
MTG,MGIC Investment Corporation,25.99 USD,−0.54%,1.37 M,0.86,6.17 B USD,8.64,3.01 USD,+15.69%,1.94%,Finance,Neutral
MTH,Meritage Homes Corporation,64.22 USD,−0.20%,536.4 K,0.68,4.61 B USD,6.50,9.88 USD,−7.89%,2.42%,Consumer durables,Buy
MTN,"Vail Resorts, Inc.",147.71 USD,−0.46%,356.86 K,0.74,5.52 B USD,21.66,6.82 USD,+13.85%,6.01%,Consumer services,Neutral
MTNB,"Matinas Biopharma Holdings, Inc.",0.8120 USD,+6.70%,23.74 K,0.09,4.13 M USD,—,−3.98 USD,+25.63%,0.00%,Health technology,—
MTRN,Materion Corporation,76.69 USD,−0.07%,124.14 K,0.65,1.6 B USD,163.59,0.47 USD,−88.26%,0.70%,Electronic technology,Buy
MTRX,Matrix Service Company,12.13 USD,+0.75%,103.8 K,0.61,334.92 M USD,—,−0.82 USD,−6.77%,0.00%,Industrial services,Strong buy
MTSI,"MACOM Technology Solutions Holdings, Inc.",121.63 USD,+0.07%,429.03 K,0.48,9.05 B USD,—,−1.22 USD,−238.04%,0.00%,Electronic technology,Buy
MTSR,"Metsera, Inc.",27.30 USD,−2.66%,1.1 M,1.09,2.87 B USD,—,—,—,0.00%,Health technology,Strong buy
MTUS,Metallus Inc.,12.30 USD,−1.52%,361.48 K,0.73,516.89 M USD,—,−0.51 USD,−130.38%,0.00%,Non-energy minerals,Neutral
MTVA,MetaVia Inc.,0.7898 USD,−2.48%,336.07 K,0.33,15.45 M USD,—,−3.36 USD,−3.04%,0.00%,Health technology,Strong buy
MTW,"Manitowoc Company, Inc. (The)",10.33 USD,−2.18%,204.88 K,0.59,366.13 M USD,8.20,1.26 USD,+66.51%,0.00%,Producer manufacturing,Neutral
MTX,Minerals Technologies Inc.,58.14 USD,−1.07%,263.93 K,0.85,1.84 B USD,—,−0.78 USD,−127.09%,0.72%,Process industries,Strong buy
MTZ,"MasTec, Inc.",152.45 USD,+1.11%,772.77 K,0.88,12.03 B USD,56.28,2.71 USD,—,0.00%,Industrial services,Buy
MU,"Micron Technology, Inc.",93.37 USD,−1.54%,16.54 M,0.83,104.35 B USD,22.44,4.16 USD,—,0.49%,Electronic technology,Buy
MULN,"Mullen Automotive, Inc.",0.1605 USD,−3.31%,32.62 M,0.37,7.13 M USD,—,"−5,050,057.45 USD",+99.30%,0.00%,Technology services,—
MUR,Murphy Oil Corporation,20.89 USD,−0.52%,1.49 M,0.59,2.98 B USD,8.02,2.61 USD,−27.36%,5.86%,Energy minerals,Neutral
MURA,Mural Oncology plc,2.75 USD,0.00%,40.04 K,0.20,47.49 M USD,—,−7.67 USD,—,0.00%,Health technology,Buy
MUSA,Murphy USA Inc.,443.88 USD,+1.04%,415.37 K,1.01,8.77 B USD,18.72,23.72 USD,−0.52%,0.42%,Retail trade,Buy
MUX,McEwen Mining Inc.,7.96 USD,+3.78%,796.02 K,1.39,429.74 M USD,—,−0.57 USD,−137.21%,0.00%,Non-energy minerals,Strong buy
MVBF,MVB Financial Corp.,18.97 USD,−0.21%,91.04 K,3.59,246.51 M USD,13.01,1.46 USD,−22.10%,3.58%,Finance,Buy
MVIS,"MicroVision, Inc.",1.07 USD,−1.83%,2.31 M,0.48,266.71 M USD,—,−0.45 USD,+5.56%,0.00%,Electronic technology,Strong buy
MVST,"Microvast Holdings, Inc.",3.98 USD,+12.11%,14.47 M,0.87,1.29 B USD,—,−0.45 USD,−37.90%,0.00%,Producer manufacturing,Buy
MWA,MUELLER WATER PRODUCTS,24.57 USD,+0.61%,1.01 M,0.76,3.85 B USD,26.85,0.92 USD,+43.13%,1.07%,Producer manufacturing,Buy
MWG,Multi Ways Holdings Limited,0.2995 USD,−3.39%,51.91 K,1.37,9.24 M USD,—,—,—,0.00%,Distribution services,—
MWYN,"Marwynn Holdings, Inc.",8.87 USD,−1.99%,282.03 K,0.32,151.27 M USD,—,—,—,0.00%,Retail trade,—
MX,Magnachip Semiconductor Corporation,3.68 USD,−5.88%,212.07 K,0.39,132.71 M USD,—,−1.28 USD,−64.21%,0.00%,Electronic technology,Strong buy
MXC,Mexco Energy Corporation,6.85 USD,−1.72%,2.18 K,1.05,14.02 M USD,10.79,0.63 USD,−30.45%,0.00%,Energy minerals,—
MXCT,"MaxCyte, Inc.",2.19 USD,−2.67%,1.54 M,1.00,232.84 M USD,—,−0.40 USD,−12.34%,0.00%,Health technology,Strong buy
MXL,"MaxLinear, Inc",11.57 USD,−0.86%,771.43 K,0.83,999.35 M USD,—,−2.64 USD,−39.38%,0.00%,Electronic technology,Buy
MYE,"Myers Industries, Inc.",12.06 USD,−1.31%,183.73 K,1.15,450.83 M USD,43.09,0.28 USD,−73.70%,4.48%,Producer manufacturing,Neutral
MYFW,"First Western Financial, Inc.",21.15 USD,−1.67%,13.79 K,0.32,205.48 M USD,20.41,1.04 USD,+36.26%,0.00%,Finance,Buy
MYGN,"Myriad Genetics, Inc.",3.91 USD,−0.51%,1.61 M,0.58,360.41 M USD,—,−1.12 USD,+60.45%,0.00%,Health technology,Neutral
MYNZ,Mainz Biomed N.V.,2.10 USD,0.00%,46.85 K,0.41,8.01 M USD,—,—,—,0.00%,Health technology,Strong buy
MYO,Myomo Inc.,3.11 USD,−3.12%,451.85 K,0.61,111.89 M USD,—,−0.15 USD,+45.63%,0.00%,Distribution services,Strong buy
MYPS,"PLAYSTUDIOS, Inc.",1.41 USD,+4.44%,579.78 K,3.06,176.37 M USD,—,−0.25 USD,−86.49%,0.00%,Technology services,Buy
MYRG,"MYR Group, Inc.",157.41 USD,+0.22%,221.84 K,0.99,2.44 B USD,72.28,2.18 USD,−57.76%,0.00%,Industrial services,Buy
MYSZ,"My Size, Inc.",1.22 USD,−0.81%,23.86 K,0.16,3.79 M USD,—,−3.38 USD,+86.85%,0.00%,Technology services,—
NA,Nano Labs Ltd,3.71 USD,+0.27%,38.53 K,2.75,63.61 M USD,—,−0.95 USD,—,0.00%,Electronic technology,—
NABL,"N-able, Inc.",7.72 USD,−0.52%,995.44 K,0.68,1.46 B USD,88.63,0.09 USD,−40.55%,0.00%,Technology services,Buy
NAGE,"Niagen Bioscience, Inc.",9.88 USD,−2.76%,561.29 K,0.53,778.24 M USD,57.21,0.17 USD,—,0.00%,Health technology,Strong buy
NAII,"Natural Alternatives International, Inc.",3.35 USD,+0.30%,1.53 K,0.24,20.7 M USD,—,−1.39 USD,−146.10%,0.00%,Health technology,—
NAKA,"Kindly MD, Inc.",22.64 USD,—,1.67 M,—,136.34 M USD,—,−0.73 USD,−153.45%,0.00%,Health services,—
NAMS,NewAmsterdam Pharma Company N.V.,17.61 USD,−3.67%,274.69 K,0.45,1.98 B USD,—,−1.88 USD,"−1,314.68%",0.00%,Health technology,Strong buy
NAOV,"NanoVibronix, Inc.",1.12 USD,+2.75%,539.48 K,0.33,2.9 M USD,—,−15.13 USD,−23.60%,0.00%,Health technology,—
NAT,Nordic American Tankers Limited,2.67 USD,+2.69%,2.61 M,1.19,565.37 M USD,11.96,0.22 USD,−52.77%,12.73%,Transportation,Buy
NATH,"Nathan's Famous, Inc.",101.27 USD,−0.82%,11.91 K,1.08,414.14 M USD,17.48,5.79 USD,+24.73%,1.97%,Consumer services,—
NATL,NCR Atleos Corporation,25.57 USD,−1.43%,275.07 K,0.66,1.88 B USD,16.44,1.56 USD,—,0.00%,Electronic technology,Buy
NATR,"Nature's Sunshine Products, Inc.",14.27 USD,−1.04%,37.2 K,0.88,261.87 M USD,26.66,0.54 USD,−37.09%,0.00%,Health technology,Strong buy
NAUT,"Nautilus Biotechnology, Inc.",0.7321 USD,−6.62%,200.94 K,1.00,92.35 M USD,—,−0.55 USD,−1.20%,0.00%,Health technology,Neutral
NAVI,Navient Corporation,13.25 USD,+0.15%,525.64 K,0.82,1.34 B USD,26.10,0.51 USD,−67.76%,4.83%,Finance,Neutral
NB,NioCorp Developments Ltd.,2.47 USD,+2.92%,614.07 K,1.36,137.6 M USD,—,−0.19 USD,+55.90%,0.00%,Non-energy minerals,Strong buy
NBBK,"NB Bancorp, Inc.",16.78 USD,−0.65%,137.96 K,1.10,626.31 M USD,14.25,1.18 USD,+277.02%,0.00%,Finance,Strong buy
NBHC,National Bank Holdings Corporation,36.54 USD,−0.14%,218.68 K,1.14,1.39 B USD,12.63,2.89 USD,−16.92%,3.12%,Finance,Neutral
NBIS,Nebius Group N.V.,38.59 USD,+2.09%,10.38 M,0.69,9.19 B USD,—,−1.03 USD,—,0.00%,Technology services,Buy
NBIX,"Neurocrine Biosciences, Inc.",120.18 USD,+0.89%,882.2 K,0.72,11.89 B USD,40.75,2.95 USD,−18.93%,0.00%,Health technology,Strong buy
NBN,Northeast Bank,81.90 USD,−1.33%,39.61 K,1.15,653.37 M USD,9.11,8.99 USD,+23.24%,0.05%,Finance,Buy
NBR,Nabors Industries Ltd.,26.19 USD,+2.67%,431.77 K,0.81,411.17 M USD,—,−15.64 USD,−20.50%,0.00%,Industrial services,Neutral
NBTB,NBT Bancorp Inc.,41.56 USD,−0.65%,157.32 K,0.73,2.17 B USD,13.74,3.02 USD,+16.51%,3.22%,Finance,Buy
NBY,"NovaBay Pharmaceuticals, Inc.",0.5697 USD,+0.48%,9.62 K,0.22,3.31 M USD,—,−0.82 USD,+99.09%,0.00%,Health technology,—
NC,"NACCO Industries, Inc.",35.58 USD,−4.79%,7.98 K,0.90,264.81 M USD,7.70,4.62 USD,—,2.56%,Energy minerals,—
NCEW,New Century Logistics (BVI) Limited,1.10 USD,−4.35%,131.8 K,0.31,23.65 M USD,—,—,—,0.00%,Transportation,—
NCI,Neo-Concept International Group Holdings Limited,0.3726 USD,+4.66%,141.31 K,0.28,7.57 M USD,7.32,0.05 USD,—,0.00%,Retail trade,—
NCL,Northann Corp.,0.9538 USD,+3.11%,884.88 K,0.06,91.05 M USD,—,−0.19 USD,−49.61%,0.00%,Technology services,—
NCLH,Norwegian Cruise Line Holdings Ltd.,17.32 USD,−0.69%,7.43 M,0.51,7.74 B USD,10.56,1.64 USD,+151.32%,0.00%,Consumer services,Buy
NCMI,"National CineMedia, Inc.",4.90 USD,−0.81%,736.52 K,1.04,462.09 M USD,—,−0.20 USD,−100.57%,0.61%,Commercial services,Strong buy
NCNO,"nCino, Inc.",26.26 USD,−1.50%,2.96 M,1.43,3.03 B USD,—,−0.33 USD,+12.93%,0.00%,Technology services,Buy
NCPL,Netcapital Inc.,1.90 USD,0.00%,35.07 K,0.72,4.16 M USD,—,−16.99 USD,−261.57%,0.00%,Commercial services,—
NCRA,"Nocera, Inc.",0.9600 USD,−4.00%,18.56 K,0.52,13.79 M USD,—,−0.15 USD,+55.69%,0.00%,Industrial services,—
NCSM,"NCS Multistage Holdings, Inc.",30.95 USD,−3.22%,6.79 K,1.14,78.64 M USD,9.62,3.22 USD,−40.04%,0.00%,Industrial services,Strong buy
NCT,Intercont (Cayman) Limited,4.44 USD,−2.20%,54.58 K,0.55,118.44 M USD,—,—,—,0.00%,Transportation,—
NDAQ,"Nasdaq, Inc.",81.78 USD,+0.70%,3.86 M,0.83,46.95 B USD,37.08,2.21 USD,+16.20%,1.17%,Finance,Buy
NDLS,Noodles & Company,0.7430 USD,−3.36%,210.84 K,1.24,34.14 M USD,—,−0.86 USD,−200.32%,0.00%,Consumer services,Strong buy
NDRA,ENDRA Life Sciences Inc.,3.11 USD,−0.64%,15.39 K,0.10,2.3 M USD,—,−486.39 USD,+77.36%,0.00%,Health technology,Strong buy
NDSN,Nordson Corporation,193.38 USD,−1.26%,319.09 K,1.09,11.01 B USD,24.62,7.85 USD,−8.24%,1.56%,Producer manufacturing,Buy
NE,Noble Corporation plc A,23.49 USD,+0.99%,1.49 M,0.72,3.73 B USD,7.84,3.00 USD,−6.82%,8.09%,Industrial services,Buy
NECB,"NorthEast Community Bancorp, Inc.",22.89 USD,−0.39%,20.21 K,0.69,321 M USD,6.54,3.50 USD,+8.29%,2.62%,Finance,—
NEE,"NextEra Energy, Inc.",67.76 USD,+1.22%,17.16 M,0.93,139.49 B USD,25.34,2.67 USD,−27.14%,3.12%,Utilities,Buy
NEGG,"Newegg Commerce, Inc.",5.56 USD,−0.45%,362.46 K,0.83,107.75 M USD,—,—,—,0.00%,Retail trade,—
NEHC,New Era Helium Inc,0.6036 USD,−1.85%,424.08 K,1.82,8.74 M USD,—,−1.30 USD,−234.89%,0.00%,Finance,—
NEM,Newmont Corporation,53.65 USD,+1.90%,10.17 M,0.78,59.71 B USD,12.04,4.46 USD,—,1.86%,Non-energy minerals,Buy
NEN,New England Realty Associates Limited Partnership,76.02 USD,−1.40%,4.59 K,5.87,266.13 M USD,16.66,4.56 USD,+58.90%,2.10%,Finance,—
NEO,"NeoGenomics, Inc.",7.41 USD,+1.79%,1.55 M,0.96,953.63 M USD,—,−0.61 USD,+8.79%,0.00%,Health services,Buy
NEOG,Neogen Corporation,6.06 USD,−2.10%,3.12 M,0.61,1.32 B USD,—,−2.24 USD,"−31,186.11%",0.00%,Health technology,Buy
NEON,Neonode Inc.,9.75 USD,−1.32%,72.17 K,0.72,163.63 M USD,—,−0.38 USD,+46.30%,0.00%,Electronic technology,Strong buy
NEOV,NeoVolta Inc.,3.49 USD,+21.60%,352.35 K,2.47,119.1 M USD,—,−0.12 USD,−115.76%,0.00%,Producer manufacturing,Strong buy
NEPH,"Nephros, Inc.",2.92 USD,+11.03%,75.11 K,3.99,30.95 M USD,38.68,0.08 USD,—,0.00%,Health technology,Strong buy
NERV,"Minerva Neurosciences, Inc",1.46 USD,+0.69%,2.48 K,0.27,10.21 M USD,1.77,0.83 USD,—,0.00%,Health technology,Neutral
NESR,National Energy Services Reunited Corp,5.85 USD,−5.80%,582 K,2.06,558.37 M USD,—,—,—,0.00%,Industrial services,Strong buy
NET,"Cloudflare, Inc.",158.04 USD,−0.11%,1.68 M,0.39,54.78 B USD,—,−0.24 USD,+56.19%,0.00%,Technology services,Buy
NETD,Nabors Energy Transition Corp. II,11.05 USD,+0.09%,171.97 K,0.78,421.28 M USD,46.64,0.24 USD,−20.53%,0.00%,Finance,—
NEU,NewMarket Corp,640.43 USD,−1.02%,36.77 K,1.01,6.04 B USD,12.75,50.25 USD,+20.92%,1.60%,Process industries,Neutral
NEUE,"NeueHealth, Inc.",6.75 USD,−1.89%,2.13 K,0.23,60.26 M USD,—,−22.00 USD,+83.17%,0.00%,Health services,Neutral
NEUP,Neuphoria Therapeutics Inc.,6.78 USD,+8.83%,45.08 K,2.35,12.75 M USD,—,—,—,0.00%,Health technology,Strong buy
NEWT,"NewtekOne, Inc.",10.76 USD,+0.37%,133.67 K,0.56,283.44 M USD,5.64,1.91 USD,+23.51%,7.06%,Finance,Neutral
NEXA,Nexa Resources S.A.,5.02 USD,−5.99%,191.43 K,20.59,664.84 M USD,—,−1.27 USD,+42.72%,0.00%,Non-energy minerals,Neutral
NEXT,NextDecade Corporation,7.53 USD,+1.35%,1.69 M,0.96,1.96 B USD,—,−0.69 USD,+10.61%,0.00%,Energy minerals,Strong buy
NFBK,"Northfield Bancorp, Inc.",11.42 USD,−0.52%,129.37 K,0.84,486.79 M USD,14.89,0.77 USD,+2.73%,4.55%,Finance,Buy
NFE,New Fortress Energy Inc.,2.78 USD,−0.89%,6.17 M,0.26,762.22 M USD,—,−2.26 USD,−202.85%,14.39%,Utilities,Buy
NFG,National Fuel Gas Company,82.42 USD,+2.32%,480.33 K,0.94,7.45 B USD,187.79,0.44 USD,−91.29%,2.50%,Energy minerals,Neutral
NFLX,"Netflix, Inc.","1,185.39 USD",−0.22%,2.19 M,0.61,504.47 B USD,56.01,21.16 USD,+46.83%,0.00%,Technology services,Buy
NG,Novagold Resources Inc.,3.58 USD,−0.56%,4.01 M,0.75,1.37 B USD,—,−0.13 USD,+8.36%,0.00%,Non-energy minerals,Buy
NGL,NGL ENERGY PARTNERS LP,3.29 USD,−2.66%,113.52 K,0.34,434.32 M USD,—,−2.53 USD,−323.34%,0.00%,Industrial services,Buy
NGNE,Neurogene Inc.,17.28 USD,−4.21%,110.75 K,0.48,246.45 M USD,—,−4.68 USD,−76.15%,0.00%,Health technology,Strong buy
NGS,"Natural Gas Services Group, Inc.",24.17 USD,+0.50%,56.1 K,0.68,302.85 M USD,17.86,1.35 USD,+77.55%,0.00%,Producer manufacturing,Strong buy
NGVC,"Natural Grocers by Vitamin Cottage, Inc.",49.92 USD,−0.28%,187.25 K,0.73,1.15 B USD,28.06,1.78 USD,+42.56%,0.88%,Retail trade,—
NGVT,Ingevity Corporation,40.89 USD,−1.02%,246.62 K,0.97,1.49 B USD,—,−9.74 USD,−213.52%,0.00%,Process industries,Buy
NHC,National HealthCare Corporation,102.33 USD,+0.73%,26.01 K,0.52,1.58 B USD,14.80,6.91 USD,+31.29%,2.38%,Health services,—
NHIC,NewHold Investment Corp III,10.02 USD,+0.05%,11.14 K,0.20,276.54 M USD,—,—,—,0.00%,Finance,—
NHTC,Natural Health Trends Corp. - Commn Stock,4.64 USD,+0.15%,14.57 K,0.21,53.39 M USD,105.15,0.04 USD,+1.38%,17.25%,Consumer non-durables,—
NI,NiSource Inc,39.02 USD,+1.35%,3.07 M,0.71,18.37 B USD,21.02,1.86 USD,+21.32%,2.79%,Utilities,Buy
NIC,Nicolet Bankshares Inc.,122.13 USD,−0.63%,58.71 K,0.84,1.84 B USD,14.72,8.29 USD,+27.73%,0.92%,Finance,Buy
NINE,"Nine Energy Service, Inc.",0.5208 USD,−2.44%,499.78 K,0.51,22.06 M USD,—,−1.05 USD,−3.77%,0.00%,Industrial services,Strong sell
NISN,"NiSun Intl Enterprise Development Group Co, Ltd",4.55 USD,−1.26%,24.14 K,0.27,20.96 M USD,8.41,0.54 USD,−87.87%,0.00%,Producer manufacturing,—
NITO,"N2OFF, Inc.",0.2826 USD,+0.93%,2.42 M,0.24,7.46 M USD,—,−0.81 USD,+94.29%,0.00%,Consumer non-durables,—
NIVF,NewGenIvf Group Limited,2.64 USD,0.00%,86.49 K,0.16,1.93 M USD,—,—,—,0.00%,Health services,—
NIXX,"Nixxy, Inc.",1.76 USD,−2.76%,201.91 K,0.92,33.73 M USD,—,−3.48 USD,−18.73%,0.00%,Commercial services,—
NJR,NewJersey Resources Corporation,45.74 USD,+0.59%,431.93 K,0.67,4.59 B USD,11.09,4.13 USD,+63.79%,3.87%,Utilities,Buy
NKE,"Nike, Inc.",60.02 USD,−2.12%,14.28 M,0.88,88.59 B USD,19.97,3.01 USD,−11.60%,2.57%,Consumer non-durables,Buy
NKSH,"National Bankshares, Inc.",26.46 USD,+1.89%,23.28 K,2.34,168.37 M USD,19.41,1.36 USD,−39.79%,5.71%,Finance,Strong buy
NKTR,Nektar Therapeutics,0.6541 USD,−0.89%,1.05 M,0.54,121.73 M USD,—,−0.64 USD,+30.93%,0.00%,Health technology,Buy
NKTX,"Nkarta, Inc.",1.75 USD,−0.85%,254.61 K,0.53,124.18 M USD,—,−1.51 USD,+35.73%,0.00%,Health technology,Strong buy
NL,"NL Industries, Inc.",7.74 USD,−3.01%,17.42 K,0.50,378.08 M USD,6.19,1.25 USD,—,4.26%,Producer manufacturing,—
NLSP,NLS Pharmaceutics Ltd.,1.85 USD,−5.13%,309.86 K,0.56,6.66 M USD,—,−0.74 USD,−116.44%,0.00%,Health technology,—
NMAX,"Newsmax, Inc.",23.11 USD,−1.95%,335.93 K,0.29,2.96 B USD,—,—,—,0.00%,Consumer services,—
NMFC,New Mountain Finance Corporation,10.60 USD,+0.47%,300.93 K,0.89,1.14 B USD,10.71,0.99 USD,−10.20%,12.08%,Miscellaneous,Buy
NMIH,NMI Holdings Inc,37.96 USD,+0.50%,672.56 K,1.28,2.97 B USD,8.20,4.63 USD,+14.33%,0.00%,Finance,Buy
NMM,Navios Maritime Partners LP,38.86 USD,+1.36%,80.03 K,0.91,1.15 B USD,3.54,10.98 USD,−17.02%,0.51%,Transportation,Strong buy
NMRA,"Neumora Therapeutics, Inc.",0.6797 USD,−5.31%,853.73 K,0.88,109.94 M USD,—,−1.61 USD,+0.76%,0.00%,Health technology,Buy
NMRK,"Newmark Group, Inc.",10.48 USD,+0.19%,1.07 M,0.90,1.93 B USD,26.66,0.39 USD,+86.30%,1.15%,Finance,Buy
NMTC,NeuroOne Medical Technologies Corporation,0.6229 USD,+1.12%,73 K,0.23,31.03 M USD,—,−0.23 USD,+60.65%,0.00%,Health technology,Strong buy
NN,NextNav Inc.,12.44 USD,−3.34%,929.77 K,0.75,1.65 B USD,—,−1.01 USD,−27.02%,0.00%,Technology services,Buy
NNBR,"NN, Inc.",1.93 USD,+1.58%,208.6 K,1.06,97.36 M USD,—,−1.00 USD,+28.78%,0.00%,Producer manufacturing,Strong buy
NNE,Nano Nuclear Energy Inc.,35.86 USD,+30.07%,19.94 M,8.43,1.34 B USD,—,−0.91 USD,—,0.00%,Producer manufacturing,Strong buy
NNI,"Nelnet, Inc.",114.43 USD,+0.39%,88.81 K,1.10,4.16 B USD,22.02,5.20 USD,+43.22%,0.98%,Finance,Neutral
NNNN,Anbio Biotechnology,7.70 USD,−0.65%,46.23 K,0.74,1.11 B USD,127.06,0.06 USD,+5.21%,0.00%,Health technology,—
NNOX,NANO-X IMAGING LTD,5.13 USD,−2.10%,745.24 K,0.77,327.1 M USD,—,−0.91 USD,+15.73%,0.00%,Health technology,Strong buy
NNVC,"NanoViricides, Inc.",1.79 USD,+20.95%,990.12 K,6.67,28.77 M USD,—,−0.70 USD,+13.83%,0.00%,Health technology,—
NOC,Northrop Grumman Corporation,471.46 USD,−0.30%,679.24 K,0.67,67.86 B USD,18.56,25.41 USD,+77.75%,1.75%,Electronic technology,Buy
NODK,"NI Holdings, Inc.",12.75 USD,−0.39%,14.12 K,0.85,263.91 M USD,52.77,0.24 USD,−1.31%,0.00%,Finance,—
NOEM,CO2 Energy Transition Corp.,9.99 USD,0.00%,9.78 K,0.89,95.76 M USD,226.53,0.04 USD,—,0.00%,Finance,—
NOG,"Northern Oil and Gas, Inc.",26.94 USD,+0.37%,1.16 M,0.71,2.66 B USD,4.20,6.42 USD,+4.05%,6.27%,Energy minerals,Buy
NOMD,Nomad Foods Limited,17.60 USD,−0.34%,716.44 K,0.64,2.7 B USD,11.63,1.51 USD,+26.62%,3.52%,Consumer non-durables,Strong buy
NOTE,"FiscalNote Holdings, Inc.",0.6262 USD,−3.91%,2.1 M,1.29,99.08 M USD,—,−0.33 USD,+14.79%,0.00%,Technology services,Strong buy
NOTV,"Inotiv, Inc.",2.12 USD,+0.47%,203.33 K,0.48,72.83 M USD,—,−3.18 USD,−15.25%,0.00%,Commercial services,Buy
NOV,NOV Inc.,12.14 USD,−0.25%,2.46 M,0.73,4.56 B USD,8.10,1.50 USD,−39.70%,2.47%,Industrial services,Buy
NOVA,Sunnova Energy International Inc.,0.1831 USD,−3.63%,4.8 M,0.71,23.01 M USD,—,−2.95 USD,+15.72%,0.00%,Utilities,Neutral
NOVT,Novanta Inc.,120.13 USD,−1.45%,344.01 K,1.08,4.32 B USD,61.45,1.95 USD,+1.73%,0.00%,Electronic technology,Buy
NOW,"ServiceNow, Inc.","1,004.37 USD",−1.12%,1.39 M,1.10,207.89 B USD,136.34,7.37 USD,−21.24%,0.00%,Technology services,Strong buy
NPB,"Northpointe Bancshares, Inc.",13.40 USD,−0.74%,67.6 K,1.34,460.49 M USD,—,—,—,0.00%,Finance,Strong buy
NPCE,"Neuropace, Inc.",17.68 USD,−1.06%,225.22 K,0.44,579.88 M USD,—,−0.83 USD,+29.86%,0.00%,Health technology,Strong buy
NPK,"National Presto Industries, Inc.",84.95 USD,+1.40%,27.71 K,1.01,607.16 M USD,14.23,5.97 USD,+31.43%,1.18%,Electronic technology,—
NPKI,NPK International Inc.,8.14 USD,+2.26%,718.88 K,0.79,688.01 M USD,14.76,0.55 USD,+198.75%,0.00%,Industrial services,Strong buy
NPO,Enpro Inc.,175.60 USD,−1.70%,70.26 K,0.58,3.7 B USD,43.73,4.02 USD,—,0.69%,Producer manufacturing,Strong buy
NPWR,NET Power Inc.,1.58 USD,+3.27%,655.81 K,0.91,346.13 M USD,—,−2.05 USD,+6.28%,0.00%,Producer manufacturing,Buy
NRC,National Research Corporation,13.59 USD,−1.45%,82.19 K,0.91,309.65 M USD,13.19,1.03 USD,−16.84%,3.53%,Health services,—
NRDS,"NerdWallet, Inc.",10.52 USD,−1.77%,243.53 K,0.56,783.87 M USD,26.71,0.39 USD,—,0.00%,Technology services,Buy
NRDY,Nerdy Inc.,1.61 USD,+1.26%,467.03 K,0.64,296.5 M USD,—,−0.40 USD,−40.42%,0.00%,Technology services,Neutral
NRG,"NRG Energy, Inc.",157.82 USD,+1.63%,2.29 M,0.45,30.86 B USD,24.86,6.35 USD,−11.90%,1.05%,Utilities,Buy
NRGV,"Energy Vault Holdings, Inc.",0.9200 USD,−5.81%,670.6 K,0.41,143.56 M USD,—,−0.92 USD,−49.68%,0.00%,Producer manufacturing,Buy
NRIM,Northrim BanCorp Inc,88.13 USD,+0.89%,47.86 K,1.38,486.56 M USD,11.70,7.53 USD,+46.74%,2.83%,Finance,Strong buy
NRIX,"Nurix Therapeutics, Inc.",9.72 USD,−2.70%,401.51 K,0.57,741.01 M USD,—,−2.81 USD,−5.92%,0.00%,Health technology,Strong buy
NRP,Natural Resource Partners LP Limited Partnership,96.46 USD,+2.07%,6.51 K,0.26,1.27 B USD,9.27,10.40 USD,−23.14%,3.11%,Energy minerals,—
NRSN,NeuroSense Therapeutics Ltd.,1.52 USD,+4.11%,304.02 K,0.80,36.46 M USD,—,−0.58 USD,+31.09%,0.00%,Health technology,Buy
NRXP,"NRX Pharmaceuticals, Inc.",2.62 USD,−2.60%,184.33 K,0.32,45.3 M USD,—,−2.01 USD,+36.97%,0.00%,Health technology,Strong buy
NRXS,"Neuraxis, Inc.",3.03 USD,0.00%,445.9 K,0.05,21.86 M USD,—,−1.24 USD,+62.82%,0.00%,Health technology,Strong buy
NSC,Norfolk Southern Corporation,240.02 USD,+0.16%,1.41 M,1.13,54.11 B USD,16.39,14.64 USD,+135.37%,2.25%,Transportation,Buy
NSIT,"Insight Enterprises, Inc.",132.08 USD,−0.93%,187.07 K,0.48,4.22 B USD,26.43,5.00 USD,−37.15%,0.00%,Technology services,Buy
NSP,"Insperity, Inc.",65.07 USD,−2.58%,644.24 K,1.16,2.45 B USD,39.37,1.65 USD,−59.63%,3.69%,Commercial services,Neutral
